SKU,PDF page,Printed page,Unresolved fields
W2739,29,8,widthIn
W2742,31,10,widthIn
W3039,29,8,widthIn
W3042,31,10,widthIn
W3339,29,8,widthIn
W3342,31,10,widthIn
W3639,29,8,widthIn
W3642,31,10,widthIn
W3939,29,8,widthIn
W3942,31,10,widthIn
WBC2439,29,8,widthIn
WBC3039,29,8,widthIn
WBC3639,29,8,widthIn
WF330,91,70,heightIn; thicknessIn; widthIn
WF336,91,70,heightIn; thicknessIn; widthIn
WF339,91,70,heightIn; thicknessIn; widthIn
WF342,91,70,heightIn; thicknessIn; widthIn
WF630,91,70,heightIn; thicknessIn; widthIn
WF636,91,70,heightIn; thicknessIn; widthIn
WF639,91,70,heightIn; thicknessIn; widthIn
WF642,91,70,heightIn; thicknessIn; widthIn
